,GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
1422,COUNTRIES,ARE,United Arab Emirates,2016.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,78131.0,78131.0,100.0
1423,COUNTRIES,ARE,United Arab Emirates,2016.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,89495.0,89495.0,100.0
1424,COUNTRIES,ARE,United Arab Emirates,2016.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,80837.0,80837.0,100.0
1425,COUNTRIES,ARE,United Arab Emirates,2016.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,83746.0,83746.0,100.0
1426,COUNTRIES,ARE,United Arab Emirates,2016.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,80870.0,80870.0,100.0
1427,COUNTRIES,ARE,United Arab Emirates,2016.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,54541.0,54541.0,100.0
1428,COUNTRIES,ARE,United Arab Emirates,2016.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,89495.0,89495.0,100.0
1429,COUNTRIES,ARE,United Arab Emirates,2016.0,ROTA1,"Rotavirus, 1st dose",ADMIN,Administrative coverage,77037.0,72947.0,95.0
1430,COUNTRIES,ARE,United Arab Emirates,2016.0,ROTAC,"Rotavirus, last dose",ADMIN,Administrative coverage,77290.0,71149.0,92.0
1431,COUNTRIES,ARE,United Arab Emirates,2015.0,BCG,BCG,ADMIN,Administrative coverage,26370.0,25197.0,96.0
1432,COUNTRIES,ARE,United Arab Emirates,2015.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,33282.0,33282.0,100.0
1433,COUNTRIES,ARE,United Arab Emirates,2015.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,34372.0,34372.0,100.0
1434,COUNTRIES,ARE,United Arab Emirates,2015.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,24125.0,23132.0,96.0
1435,COUNTRIES,ARE,United Arab Emirates,2015.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,34229.0,34229.0,100.0
1436,COUNTRIES,ARE,United Arab Emirates,2015.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,35772.0,35772.0,100.0
1437,COUNTRIES,ARE,United Arab Emirates,2015.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,34674.0,34674.0,100.0
1438,COUNTRIES,ARE,United Arab Emirates,2015.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,37298.0,37298.0,100.0
1439,COUNTRIES,ARE,United Arab Emirates,2015.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,27229.0,27229.0,100.0
1440,COUNTRIES,ARE,United Arab Emirates,2015.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,37226.0,37226.0,100.0
1441,COUNTRIES,ARE,United Arab Emirates,2015.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,35135.0,35135.0,100.0
1442,COUNTRIES,ARE,United Arab Emirates,2015.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,36299.0,36299.0,100.0
1443,COUNTRIES,ARE,United Arab Emirates,2015.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,36782.0,36782.0,100.0
1444,COUNTRIES,ARE,United Arab Emirates,2015.0,ROTA1,"Rotavirus, 1st dose",ADMIN,Administrative coverage,29966.0,29966.0,100.0
1445,COUNTRIES,ARE,United Arab Emirates,2015.0,ROTAC,"Rotavirus, last dose",ADMIN,Administrative coverage,29775.0,29775.0,100.0
1446,COUNTRIES,ARE,United Arab Emirates,2014.0,BCG,BCG,ADMIN,Administrative coverage,24830.0,22277.0,90.0
1447,COUNTRIES,ARE,United Arab Emirates,2014.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,23368.0,28100.0,120.0
1448,COUNTRIES,ARE,United Arab Emirates,2014.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,23442.0,33140.0,142.0
1449,COUNTRIES,ARE,United Arab Emirates,2014.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,24830.0,22585.0,91.0
1450,COUNTRIES,ARE,United Arab Emirates,2014.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,23481.0,31870.0,136.0
1451,COUNTRIES,ARE,United Arab Emirates,2014.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,23442.0,34614.0,148.0
1452,COUNTRIES,ARE,United Arab Emirates,2014.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,23368.0,29276.0,125.0
1453,COUNTRIES,ARE,United Arab Emirates,2014.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,24684.0,34098.0,138.0
1454,COUNTRIES,ARE,United Arab Emirates,2014.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,23368.0,31583.0,135.0
1455,COUNTRIES,ARE,United Arab Emirates,2014.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,23481.0,32984.0,140.0
1456,COUNTRIES,ARE,United Arab Emirates,2014.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,23442.0,34753.0,148.0
1457,COUNTRIES,ARE,United Arab Emirates,2014.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,23442.0,33863.0,144.0
1458,COUNTRIES,ARE,United Arab Emirates,2014.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,24684.0,34098.0,138.0
1459,COUNTRIES,ARE,United Arab Emirates,2014.0,ROTA1,"Rotavirus, 1st dose",ADMIN,Administrative coverage,12373.0,13110.0,106.0
1460,COUNTRIES,ARE,United Arab Emirates,2014.0,ROTAC,"Rotavirus, last dose",ADMIN,Administrative coverage,12217.0,10055.0,82.0
1461,COUNTRIES,ARE,United Arab Emirates,2013.0,BCG,BCG,ADMIN,Administrative coverage,34108.0,32147.0,94.0
1462,COUNTRIES,ARE,United Arab Emirates,2013.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,33272.0,35682.0,107.0
1463,COUNTRIES,ARE,United Arab Emirates,2013.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,33061.0,41179.0,125.0
1464,COUNTRIES,ARE,United Arab Emirates,2013.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,34108.0,32628.0,96.0
1465,COUNTRIES,ARE,United Arab Emirates,2013.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,33358.0,39358.0,118.0
1466,COUNTRIES,ARE,United Arab Emirates,2013.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,33061.0,41623.0,126.0
1467,COUNTRIES,ARE,United Arab Emirates,2013.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,33340.0,42713.0,128.0
1468,COUNTRIES,ARE,United Arab Emirates,2013.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,33272.0,38491.0,116.0
1469,COUNTRIES,ARE,United Arab Emirates,2013.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,33358.0,40216.0,121.0
1470,COUNTRIES,ARE,United Arab Emirates,2013.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,33061.0,42076.0,127.0
1471,COUNTRIES,ARE,United Arab Emirates,2013.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,33071.0,41048.0,124.0
1472,COUNTRIES,ARE,United Arab Emirates,2012.0,BCG,BCG,ADMIN,Administrative coverage,28830.0,27159.0,94.2
1473,COUNTRIES,ARE,United Arab Emirates,2012.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,28929.0,32133.0,111.1
1474,COUNTRIES,ARE,United Arab Emirates,2012.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,28830.0,34500.0,119.7
1475,COUNTRIES,ARE,United Arab Emirates,2012.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,28830.0,27555.0,95.5
1476,COUNTRIES,ARE,United Arab Emirates,2012.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,28932.0,31519.0,108.9
1477,COUNTRIES,ARE,United Arab Emirates,2012.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,28848.0,34617.0,120.0
1478,COUNTRIES,ARE,United Arab Emirates,2012.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,29560.0,32766.0,110.8
1479,COUNTRIES,ARE,United Arab Emirates,2012.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,22000.0,23203.0,105.0
1480,COUNTRIES,ARE,United Arab Emirates,2012.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,28929.0,34742.0,120.1
1481,COUNTRIES,ARE,United Arab Emirates,2012.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,28848.0,34942.0,121.1
1482,COUNTRIES,ARE,United Arab Emirates,2012.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,28848.0,34942.0,121.1
1483,COUNTRIES,ARE,United Arab Emirates,2012.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,28848.0,34196.0,118.5
1484,COUNTRIES,ARE,United Arab Emirates,2005.0,BCG,BCG,ADMIN,Administrative coverage,63065.0,61804.0,98.0
1485,COUNTRIES,ARE,United Arab Emirates,2005.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,63065.0,61173.0,97.0
1486,COUNTRIES,ARE,United Arab Emirates,2005.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,63065.0,59281.0,94.0
1487,COUNTRIES,ARE,United Arab Emirates,2005.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,63065.0,61804.0,98.0
1488,COUNTRIES,ARE,United Arab Emirates,2005.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,63065.0,58020.0,92.0
1489,COUNTRIES,ARE,United Arab Emirates,2005.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,63065.0,59281.0,94.0
1490,COUNTRIES,ARE,United Arab Emirates,2005.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,63065.0,58020.0,92.0
1491,COUNTRIES,ARE,United Arab Emirates,2005.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,18000.0,16920.0,94.0
1492,COUNTRIES,ARE,United Arab Emirates,2005.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,63065.0,59281.0,94.0
1493,COUNTRIES,ARE,United Arab Emirates,2005.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,25000.0,23250.0,93.0
1494,COUNTRIES,ARE,United Arab Emirates,2004.0,BCG,BCG,ADMIN,Administrative coverage,59225.0,58040.0,98.0
1495,COUNTRIES,ARE,United Arab Emirates,2004.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,59225.0,56856.0,96.0
1496,COUNTRIES,ARE,United Arab Emirates,2004.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,59225.0,55672.0,94.0
1497,COUNTRIES,ARE,United Arab Emirates,2004.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,59225.0,58040.0,98.0
1498,COUNTRIES,ARE,United Arab Emirates,2004.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,59225.0,54487.0,92.0
1499,COUNTRIES,ARE,United Arab Emirates,2004.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,59225.0,55672.0,94.0
1500,COUNTRIES,ARE,United Arab Emirates,2004.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,59225.0,55672.0,94.0
1501,COUNTRIES,ARE,United Arab Emirates,2004.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,59225.0,54487.0,92.0
1502,COUNTRIES,ARE,United Arab Emirates,2004.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,59225.0,55672.0,94.0
1503,COUNTRIES,ARE,United Arab Emirates,2004.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,59225.0,54487.0,92.0
1504,COUNTRIES,ARE,United Arab Emirates,2003.0,BCG,BCG,ADMIN,Administrative coverage,61050.0,59829.0,98.0
1505,COUNTRIES,ARE,United Arab Emirates,2003.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,61050.0,58608.0,96.0
1506,COUNTRIES,ARE,United Arab Emirates,2003.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,61050.0,57387.0,94.0
1507,COUNTRIES,ARE,United Arab Emirates,2003.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,61050.0,59829.0,98.0
1508,COUNTRIES,ARE,United Arab Emirates,2003.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,61050.0,56166.0,92.0
1509,COUNTRIES,ARE,United Arab Emirates,2003.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,61050.0,57387.0,94.0
1510,COUNTRIES,ARE,United Arab Emirates,2003.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,61050.0,57387.0,94.0
1511,COUNTRIES,ARE,United Arab Emirates,2003.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,61050.0,56166.0,92.0
1512,COUNTRIES,ARE,United Arab Emirates,2003.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,61050.0,57387.0,94.0
1513,COUNTRIES,ARE,United Arab Emirates,2002.0,BCG,BCG,ADMIN,Administrative coverage,59335.0,58148.0,98.0
1514,COUNTRIES,ARE,United Arab Emirates,2002.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,59335.0,56961.0,96.0
1515,COUNTRIES,ARE,United Arab Emirates,2002.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,59335.0,55774.0,94.0
1516,COUNTRIES,ARE,United Arab Emirates,2002.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,59335.0,58148.0,98.0
1517,COUNTRIES,ARE,United Arab Emirates,2002.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,59335.0,54588.0,92.0
1518,COUNTRIES,ARE,United Arab Emirates,2002.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,59335.0,55774.0,94.0
1519,COUNTRIES,ARE,United Arab Emirates,2002.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,59335.0,55774.0,94.0
1520,COUNTRIES,ARE,United Arab Emirates,2002.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,59335.0,54588.0,92.0
1521,COUNTRIES,ARE,United Arab Emirates,2002.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,59335.0,55774.0,94.0
1522,COUNTRIES,ARE,United Arab Emirates,2001.0,BCG,BCG,ADMIN,Administrative coverage,58063.0,56901.0,98.0
1523,COUNTRIES,ARE,United Arab Emirates,2001.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,58063.0,55740.0,96.0
1524,COUNTRIES,ARE,United Arab Emirates,2001.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,58063.0,54579.0,94.0
1525,COUNTRIES,ARE,United Arab Emirates,2001.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,58063.0,56901.0,98.0
1526,COUNTRIES,ARE,United Arab Emirates,2001.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,58063.0,53418.0,92.0
1527,COUNTRIES,ARE,United Arab Emirates,2001.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,58063.0,53418.0,92.0
1528,COUNTRIES,ARE,United Arab Emirates,2001.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,58063.0,54579.0,94.0
1529,COUNTRIES,ARE,United Arab Emirates,2001.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,58063.0,53418.0,92.0
1530,COUNTRIES,ARE,United Arab Emirates,2001.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,58063.0,54579.0,94.0
1531,COUNTRIES,ARE,United Arab Emirates,2000.0,BCG,BCG,ADMIN,Administrative coverage,54807.0,53711.0,98.0
1532,COUNTRIES,ARE,United Arab Emirates,2000.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,54807.0,52614.0,96.0
1533,COUNTRIES,ARE,United Arab Emirates,2000.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,54807.0,51519.0,94.0
1534,COUNTRIES,ARE,United Arab Emirates,2000.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,54807.0,53711.0,98.0
1535,COUNTRIES,ARE,United Arab Emirates,2000.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,54807.0,50422.0,92.0
1536,COUNTRIES,ARE,United Arab Emirates,2000.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,54807.0,50422.0,92.0
1537,COUNTRIES,ARE,United Arab Emirates,2000.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,54807.0,51519.0,94.0
1538,COUNTRIES,ARE,United Arab Emirates,2000.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,54807.0,50422.0,92.0
1539,COUNTRIES,ARE,United Arab Emirates,2000.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,54807.0,51519.0,94.0
1540,COUNTRIES,ARE,United Arab Emirates,1999.0,BCG,BCG,ADMIN,Administrative coverage,50000.0,49000.0,98.0
1541,COUNTRIES,ARE,United Arab Emirates,1999.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,50000.0,47000.0,94.0
1542,COUNTRIES,ARE,United Arab Emirates,1999.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,50000.0,46000.0,92.0
1543,COUNTRIES,ARE,United Arab Emirates,1999.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,50000.0,47000.0,94.0
1544,COUNTRIES,ARE,United Arab Emirates,1999.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,50000.0,48000.0,96.0
1545,COUNTRIES,ARE,United Arab Emirates,1999.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,50000.0,48000.0,96.0
1546,COUNTRIES,ARE,United Arab Emirates,1999.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,50000.0,47000.0,94.0
1547,COUNTRIES,ARG,Argentina,2023.0,15HPV1_F,"HPV Vaccination coverage by age 15, first dose, females",HPV,HPV Estimates,342186.0,309712.0,91.0
1548,COUNTRIES,ARG,Argentina,2023.0,15HPV1_M,"HPV Vaccination coverage by age 15, first dose, males",HPV,HPV Estimates,362423.0,283329.0,78.0
1549,COUNTRIES,ARG,Argentina,2023.0,15HPVC_F,"HPV Vaccination coverage by age 15, last dose, females",HPV,HPV Estimates,342186.0,245982.0,72.0
1550,COUNTRIES,ARG,Argentina,2023.0,15HPVC_M,"HPV Vaccination coverage by age 15, last dose, males",HPV,HPV Estimates,362423.0,216772.0,60.0
1551,COUNTRIES,ARG,Argentina,2023.0,BCG,BCG,ADMIN,Administrative coverage,494208.0,339846.0,68.77
1552,COUNTRIES,ARG,Argentina,2023.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,497862.0,307311.0,61.73
1553,COUNTRIES,ARG,Argentina,2023.0,DIPHCV5,"Diphtheria-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,684666.0,362100.0,52.89
1554,COUNTRIES,ARG,Argentina,2023.0,DIPHCV6,"Diphtheria-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,730921.0,442393.0,60.53
1555,COUNTRIES,ARG,Argentina,2023.0,DTPCV1,"DTP-containing vaccine, 1st dose",ADMIN,Administrative coverage,494208.0,380518.0,77.0
1556,COUNTRIES,ARG,Argentina,2023.0,DTPCV3,"DTP-containing vaccine, 3rd dose",ADMIN,Administrative coverage,494208.0,327126.0,66.19
1557,COUNTRIES,ARG,Argentina,2023.0,FLU_CHILD1,Influenza child age group 1,ADMIN,Administrative coverage,827322.0,517231.0,62.52
1558,COUNTRIES,ARG,Argentina,2023.0,FLU_CHILD2,Influenza child age group 2,ADMIN,Administrative coverage,380830.0,308263.0,80.95
1559,COUNTRIES,ARG,Argentina,2023.0,FLU_CHRONIC_ADULT,Influenza chronic adult,ADMIN,Administrative coverage,2923139.0,3046347.0,104.21
1560,COUNTRIES,ARG,Argentina,2023.0,FLU_ELDERLY,Influenza older persons,ADMIN,Administrative coverage,18696648.0,2279597.0,12.19
1561,COUNTRIES,ARG,Argentina,2023.0,FLU_HCW,Influenza health care workers,ADMIN,Administrative coverage,622509.0,441464.0,70.92
1562,COUNTRIES,ARG,Argentina,2023.0,FLU_OTHER,Influenza other,ADMIN,Administrative coverage,499857.0,294442.0,58.91
1563,COUNTRIES,ARG,Argentina,2023.0,FLU_PW,Influenza pregnant women,ADMIN,Administrative coverage,396285.0,273569.0,69.03
1564,COUNTRIES,ARG,Argentina,2023.0,HEPB_BD,"HepB, birth dose (given within 24 hours of birth)",ADMIN,Administrative coverage,494208.0,316110.0,63.96
1565,COUNTRIES,ARG,Argentina,2023.0,HEPB_BDALL,"HepB, birth dose total (including those given within and after 24 hours of birth)",ADMIN,Administrative coverage,494208.0,316110.0,63.96
1566,COUNTRIES,ARG,Argentina,2023.0,HEPB3,"HepB, 3rd dose",ADMIN,Administrative coverage,494208.0,327126.0,66.19
1567,COUNTRIES,ARG,Argentina,2023.0,HIB3,"Hib, 3rd dose",ADMIN,Administrative coverage,494208.0,327126.0,66.19
1568,COUNTRIES,ARG,Argentina,2023.0,HPV_FEM,"HPV Female, final dose",ADMIN,Administrative coverage,356756.0,127717.0,35.8
1569,COUNTRIES,ARG,Argentina,2023.0,HPV_MALE,"HPV Male, final dose",ADMIN,Administrative coverage,373961.0,107807.0,28.83
1570,COUNTRIES,ARG,Argentina,2023.0,IPV1,"Inactivated polio-containing vaccine, 1st dose",ADMIN,Administrative coverage,494208.0,384628.0,77.83
1571,COUNTRIES,ARG,Argentina,2023.0,IPV2,"Inactivated polio-containing vaccine, 2nd dose",ADMIN,Administrative coverage,494208.0,375204.0,75.92
1572,COUNTRIES,ARG,Argentina,2023.0,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,497862.0,395860.0,79.51
1573,COUNTRIES,ARG,Argentina,2023.0,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,684666.0,371275.0,54.23
1574,COUNTRIES,ARG,Argentina,2023.0,MENACYW_C,"Meningococcal ACYW conjugate vaccine, last dose",ADMIN,Administrative coverage,730921.0,426048.0,58.29
1575,COUNTRIES,ARG,Argentina,2023.0,PCV1,"Pneumococcal conjugate vaccine, 1st dose",ADMIN,Administrative coverage,494208.0,376180.0,76.12
1576,COUNTRIES,ARG,Argentina,2023.0,PCV2,"Pneumococcal conjugate vaccine, 2nd dose",ADMIN,Administrative coverage,494208.0,373999.0,75.68
1577,COUNTRIES,ARG,Argentina,2023.0,PCV3,"Pneumococcal conjugate vaccine, final dose",ADMIN,Administrative coverage,497862.0,353327.0,70.97
1578,COUNTRIES,ARG,Argentina,2023.0,PERCV_PW,"Pertussis-containing vaccine, pregnant women",ADMIN,Administrative coverage,496731.0,298512.0,60.1
1579,COUNTRIES,ARG,Argentina,2023.0,PERCV4,"Pertussis-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,497862.0,307311.0,61.73
1580,COUNTRIES,ARG,Argentina,2023.0,POL3,"Polio, 3rd dose",ADMIN,Administrative coverage,494208.0,351759.0,71.18
1581,COUNTRIES,ARG,Argentina,2023.0,PRHPV1_F,"HPV Vaccination program coverage, first dose, females",HPV,HPV Estimates,356756.0,223675.0,63.0
1582,COUNTRIES,ARG,Argentina,2023.0,PRHPV1_M,"HPV Vaccination program coverage, first dose, males",HPV,HPV Estimates,373961.0,213581.0,57.0
1583,COUNTRIES,ARG,Argentina,2023.0,PRHPVC_F,"HPV Vaccination program coverage, last dose, females",HPV,HPV Estimates,356756.0,127717.0,36.0
1584,COUNTRIES,ARG,Argentina,2023.0,PRHPVC_M,"HPV Vaccination program coverage, last dose, males",HPV,HPV Estimates,373961.0,107807.0,29.0
1585,COUNTRIES,ARG,Argentina,2023.0,RCV1,"Rubella-containing vaccine, 1st dose",ADMIN,Administrative coverage,497862.0,395860.0,79.51
1586,COUNTRIES,ARG,Argentina,2023.0,ROTA1,"Rotavirus, 1st dose",ADMIN,Administrative coverage,494208.0,356153.0,72.07
1587,COUNTRIES,ARG,Argentina,2023.0,ROTAC,"Rotavirus, last dose",ADMIN,Administrative coverage,494208.0,337565.0,68.3
1588,COUNTRIES,ARG,Argentina,2023.0,TTCV4,"Tetanus-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,497862.0,307311.0,61.73
1589,COUNTRIES,ARG,Argentina,2023.0,TTCV5,"Tetanus-containing vaccine, 5th dose (2nd booster)",ADMIN,Administrative coverage,684666.0,362100.0,52.89
1590,COUNTRIES,ARG,Argentina,2023.0,TTCV6,"Tetanus-containing vaccine, 6th dose (3rd booster)",ADMIN,Administrative coverage,730921.0,442393.0,60.53
1591,COUNTRIES,ARG,Argentina,2023.0,YFV,Yellow fever vaccine,ADMIN,Administrative coverage,60208.0,34413.0,57.16
1592,COUNTRIES,ARG,Argentina,2022.0,15HPV1_F,"HPV Vaccination coverage by age 15, first dose, females",HPV,HPV Estimates,342089.0,316470.0,93.0
1593,COUNTRIES,ARG,Argentina,2022.0,15HPV1_M,"HPV Vaccination coverage by age 15, first dose, males",HPV,HPV Estimates,362295.0,286023.0,79.0
1594,COUNTRIES,ARG,Argentina,2022.0,15HPVC_F,"HPV Vaccination coverage by age 15, last dose, females",HPV,HPV Estimates,342089.0,243660.0,71.0
1595,COUNTRIES,ARG,Argentina,2022.0,15HPVC_M,"HPV Vaccination coverage by age 15, last dose, males",HPV,HPV Estimates,362295.0,194041.0,54.0
1596,COUNTRIES,ARG,Argentina,2022.0,BCG,BCG,ADMIN,Administrative coverage,517574.0,418798.0,80.92
1597,COUNTRIES,ARG,Argentina,2022.0,DIPHCV4,"Diphtheria-containing vaccine, 4th dose (1st booster)",ADMIN,Administrative coverage,544299.0,403873.0,74.2
